name	manufacturer	model	area	integrations	disabled_by	sw_version	device_id
Volvo Cars	thomasddn	integration		hacs			b4a4bdd76a60e8f3700f84f4923ded94
WhatsPie	arifwn	integration		hacs			43659da56afdb9c3e22ca95a580018f1
Worktop Sensor	Signify Netherlands B.V.	Hue motion sensor	Kitchen	hue		67.116.1	a7980a3d2b8f5c2c130ee3f615ac9d14
auto-entities	thomasloven	plugin		hacs			918468bd00fb96a0a017b768b671760f
badge-card	thomasloven	plugin		hacs			55c95ae02e5d19a83787b672c81f6d25
closed-e	eWeLink	SNZB-04P	Ellies Bedroom	zha		0x00002200	801579d626d683bbdeb7b9e924259444
closed-h	eWeLink	SNZB-04P	Hannahs Bedroom	zha		0x00002200	3a453174e9ed8f2faafccac2c998ab0d
closed-l	eWeLink	SNZB-04P	Loft Suite	zha		0x00002200	0f08d746af45f06bc61738a228f9e6dc
closed-s	eWeLink	SNZB-04P	Study	zha		0x00002200	f58f630595751c18aab50f16928a34f7
deCONZ	Official add-ons	Home Assistant Add-on		hassio		6.23.0	43440b88f56d7d156579e033f4ced3d2
driveway detector	Espressif	wemos_d1_mini32	Garage	esphome		2024.3.1 (Mar 30 2024, 07:25:56)	a0e56e6d7b7697a835095c35f2272382
family-mbp	Apple	MacBookPro16,3		mobile_app		13.1.0	a8563eb471b7919878885cec5b101758
family_mac	Apple	MacBookPro16,3		mobile_app		13.1.0	8917cfda623a6b05da7a7e221f4a1802
group-card	custom-cards	plugin		hacs			5b36dc149eb0cf91c6ed89727ef31315
